Common Name,Scientific Name,Where_Found,Family,Family Common Name,Duration,Growth Habit,Active Growth Period,Flower Color,Foliage Color,Growth Form,Growth Rate,"Height, Mature (feet)",Low Growing Grass,Shape and Orientation,Toxicity,Drought Tolerance,Shade Tolerance,Bloom Period,Bare Root,Bulbs,Container,Corms,Cuttings,Seed,Sod,Sprigs,Tubers,Palatable Human
Parks' beeblossom,Oenothera cinerea ssp. parksii,USA(TX),Onagraceae,Evening Primrose family,Perennial,"Subshrub, Forb/herb",,,,,,,,,,,,,,,,,,,,,,
Cleland's evening primrose,Oenothera clelandii,"CAN(ON), USA(AR, IA, IL, IN, KY, MI, MN, MO, NJ, NY, OH, SC, WI, WV)",Onagraceae,Evening Primrose family,"Biennial, Perennial",Forb/herb,,,,,,,,,,,,,,,,,,,,,,
Colorado beeblossom,Oenothera coloradensis,"USA(CO, NE, NM, WY)",Onagraceae,,Biennial,Forb/herb,,,,,,,,,,,,,,,,,,,,,,
Colorado butterfly plant,Oenothera coloradensis ssp. coloradensis,"USA(CO, NE, WY)",Onagraceae,,Biennial,Forb/herb,,,,,,,,,,,,,,,,,,,,,,
New Mexico beeblossom,Oenothera coloradensis ssp. neomexicana,"USA(CO, NM)",Onagraceae,,Biennial,Forb/herb,,,,,,,,,,,,,,,,,,,,,,
heartleaf evening primrose,Oenothera cordata,USA(TX),Onagraceae,Evening Primrose family,"Annual, Biennial",Forb/herb,,,,,,,,,,,,,,,,,,,,,,
crownleaf evening primrose,Oenothera coronopifolia,"USA(AZ, CO, ID, KS, NE, NM, SD, UT, WY)",Onagraceae,Evening Primrose family,Perennial,Forb/herb,,,,,,,,,,,,,,,,,,,,,,
El Paso evening primrose,Oenothera coryi,USA(TX),Onagraceae,Evening Primrose family,Perennial,Forb/herb,,,,,,,,,,,,,,,,,,,,,,
velvetweed,Oenothera curtiflora,"USA(AL, AR, AZ, CA, CO, FL, GA, IA, ID, IL, IN, KS, KY, LA, MA, MN, MO, MS, MT, ND, NE, NM, NV, OH, OK, OR, SC, SD, TN, TX, UT, VA, WA, WY)",Onagraceae,,Annual,Forb/herb,,,,,,,,,,,,,,,,,,,,,,
Curtiss' evening primrose,Oenothera curtissii,"USA(AL, FL, GA, MS, SC)",Onagraceae,Evening Primrose family,"Biennial, Perennial",Forb/herb,,,,,,,,,,,,,,,,,,,,,,
birdcage evening primrose,Oenothera deltoides,"USA(AZ, CA, CO, NV, OR, UT)",Onagraceae,Evening Primrose family,"Perennial, AN",Forb/herb,,,,,,,,,,,,,,,,,,,,,,
birdcage evening primrose,Oenothera deltoides ssp. ambigua,"USA(AZ, NV, UT)",Onagraceae,Evening Primrose family,Annual,Forb/herb,,,,,,,,,,,,,,,,,,,,,,
birdcage evening primrose,Oenothera deltoides ssp. cognata,USA(CA),Onagraceae,Evening Primrose family,"Annual, Perennial",Forb/herb,,,,,,,,,,,,,,,,,,,,,,
birdcage evening primrose,Oenothera deltoides ssp. deltoides,"USA(AZ, CA, CO, NV, UT)",Onagraceae,Evening Primrose family,"Perennial, AN",Forb/herb,,,,,,,,,,,,,,,,,,,,,,
Antioch Dunes evening primrose,Oenothera deltoides ssp. howellii,USA(CA),Onagraceae,Evening Primrose family,Perennial,Forb/herb,,,,,,,,,,,,,,,,,,,,,,
Piper's evening primrose,Oenothera deltoides ssp. piperi,"USA(CA, NV, OR)",Onagraceae,Evening Primrose family,Annual,Forb/herb,,,,,,,,,,,,,,,,,,,,,,
Demaree's beeblossom,Oenothera demareei,"USA(AR, OK, TX)",Onagraceae,,"Annual, Biennial",Forb/herb,,,,,,,,,,,,,,,,,,,,,,
beach evening primrose,Oenothera drummondii,"USA(FL, LA, NC, SC, TX)",Onagraceae,Evening Primrose family,Perennial,"Subshrub, Forb/herb",,,,,,,,,,,,,,,,,,,,,,
Hooker's evening primrose,Oenothera elata ssp. hirsutissima,"USA(AZ, CA, CO, ID, KS, MT, NM, NV, OK, OR, TX, UT, WA, WY)",Onagraceae,Evening Primrose family,"Perennial, Biennial",Forb/herb,,,,,,,,,,,,,,,,,,,,,,
Engelmann's evening primrose,Oenothera engelmannii,"USA(CO, KS, NM, OK, TX)",Onagraceae,Evening Primrose family,Annual,Forb/herb,,,,,,,,,,,,,,,,,,,,,,
royal evening primrose,Oenothera falfurriae,USA(TX),Onagraceae,Evening Primrose family,Annual,Forb/herb,,,,,,,,,,,,,,,,,,,,,,
longflower beeblossom,Oenothera filiformis,"CAN(ON), USA(AL, AR, CO, CT, IA, IL, IN, KS, KY, LA, MA, MD, MI, MO, MS, NE, OH, OK, PA, TN, TX, WI)",Onagraceae,,"Annual, Biennial, Perennial",Forb/herb,,,,,,,,,,,,,,,,,,,,,,
slenderstalk beeblossom,Oenothera filipes,"USA(AL, FL, GA, IL, IN, KY, LA, MS, SC, TN)",Onagraceae,,Perennial,Forb/herb,,,,,,,,,,,,,,,,,,,,,,
yellow evening primrose,Oenothera flava ssp. flava,"CAN(AB, SK), USA(AZ, CA, CO, ID, MT, ND, NE, NM, NV, OR, SD, TX, UT, WA, WY)",Onagraceae,Evening Primrose family,Perennial,Forb/herb,,,,,,,,,,,,,,,,,,,,,,
yellow evening primrose,Oenothera flava ssp. taraxacoides,"USA(AZ, NM)",Onagraceae,Evening Primrose family,Perennial,Forb/herb,,,,,,,,,,,,,,,,,,,,,,
narrowleaf evening primrose,Oenothera fruticosa ssp. fruticosa,"USA(AL, AR, CT, DC, DE, FL, GA, IL, IN, KY, LA, MA, MD, MO, MS, NC, NJ, NY, OH, OK, PA, RI, SC, TN, VA, WV)",Onagraceae,Evening Primrose family,Perennial,Forb/herb,,,,,,,,,,,,,,,,,,,,,,
narrowleaf evening primrose,Oenothera fruticosa ssp. tetragona,"CAN(MB, NB, NS, ON, QC), USA(AL, CT, DC, DE, GA, IL, IN, KY, LA, MA, MD, ME, MI, MO, NC, NH, NJ, NY, OH, PA, RI, SC, TN, VA, WV)",Onagraceae,Evening Primrose family,Perennial,Forb/herb,,,,,,,,,,,,,,,,,,,,,,
biennial beeblossom,Oenothera gaura,"CAN(ON, QC), USA(AL, CT, DC, DE, GA, IA, IL, IN, KY, MA, MD, MI, MN, MS, NC, NJ, NY, OH, PA, SC, TN, VA, WI, WV)",Onagraceae,,Biennial,Forb/herb,,,,,,,,,,,,,,,,,,,,,,
redsepal evening primrose,Oenothera glazioviana,"CAN(BC, NS, ON, QC), USA(AR, CA, CT, MA, ME, MI, NC, NH, NJ, NY, OR, PA, RI, SC, VA, WA, WI)",Onagraceae,Evening Primrose family,Biennial,Forb/herb,,,,,,,,,,,,,,,,,,,,,,
largeflower evening primrose,Oenothera grandiflora,"CAN(NS, QC), USA(AL, FL, KY, MS, NC, NJ, NY, PA, SC, TN, VT, WV)",Onagraceae,Evening Primrose family,Biennial,Forb/herb,,,,,,,,,,,,,,,,,,,,,,
showy evening primrose,Oenothera grandis,"USA(AL, AR, CO, CT, FL, IL, IN, KS, LA, MD, MO, NC, NJ, NM, NY, OK, TX, WI)",Onagraceae,Evening Primrose family,Annual,Forb/herb,,,,,,,,,,,,,,,,,,,,,,
Colorado Springs evening primrose,Oenothera harringtonii,USA(CO),Onagraceae,Evening Primrose family,Annual,Forb/herb,,,,,,,,,,,,,,,,,,,,,,
Havard's evening primrose,Oenothera havardii,"USA(AZ, TX)",Onagraceae,Evening Primrose family,Perennial,Forb/herb,,,,,,,,,,,,,,,,,,,,,,
variableleaf evening primrose,Oenothera heterophylla,"USA(AL, AR, LA, MO, TX)",Onagraceae,Evening Primrose family,"Annual, Biennial",Forb/herb,,,,,,,,,,,,,,,,,,,,,,
variableleaf evening primrose,Oenothera heterophylla ssp. heterophylla,"USA(AR, LA, MO, TX)",Onagraceae,Evening Primrose family,"Annual, Biennial",Forb/herb,,,,,,,,,,,,,,,,,,,,,,
Oriental evening primrose,Oenothera heterophylla ssp. orientalis,"USA(AL, AR)",Onagraceae,Evening Primrose family,"Biennial, AN",Forb/herb,,,,,,,,,,,,,,,,,,,,,,
harlequinbush,Oenothera hexandra,"USA(AZ, NM, TX)",Onagraceae,,Annual,Forb/herb,,,,,,,,,,,,,,,,,,,,,,
harlequinbush,Oenothera hexandra ssp. gracilis,"USA(AZ, NM, TX)",Onagraceae,,Annual,Forb/herb,,,,,,,,,,,,,,,,,,,,,,
Howard's evening primrose,Oenothera howardii,"USA(CO, KS, NV, UT, WY)",Onagraceae,Evening Primrose family,Perennial,Forb/herb,,,,,,,,,,,,,,,,,,,,,,
seabeach evening primrose,Oenothera humifusa,"USA(AL, DE, FL, GA, LA, MD, MS, NC, NJ, PA, SC, VA)",Onagraceae,Evening Primrose family,Perennial,"Subshrub, Forb/herb",,,,,,,,,,,,,,,,,,,,,,
trumpet evening primrose,Oenothera jamesii,"USA(KS, OK, TX)",Onagraceae,Evening Primrose family,Biennial,Forb/herb,,,,,,,,,,,,,,,,,,,,,,
Kunth's evening primrose,Oenothera kunthiana,"USA(AZ, TX)",Onagraceae,Evening Primrose family,"Annual, Perennial",Forb/herb,,,,,,,,,,,,,,,,,,,,,,
cutleaf evening primrose,Oenothera laciniata,"CAN(ON), USA(AL, AR, CA, CT, DC, DE, FL, GA, HI, IA, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, NC, ND, NE, NJ, NM, NY, OH, OK, PA, SC, SD, TN, TX, UM, VA, VT, WI, WV, WY)",Onagraceae,Evening Primrose family,"Perennial, AN",Forb/herb,,,,,,,,,,,,,,,,,,,,,,
mountain evening primrose,Oenothera latifolia,"USA(CO, KS, NE, NM, OK, SD, UT, WY)",Onagraceae,Evening Primrose family,Perennial,Forb/herb,,,,,,,,,,,,,,,,,,,,,,
Lindheimer's beeblossom,Oenothera lindheimeri,"USA(LA, TX)",Onagraceae,,Perennial,Forb/herb,,,,,,,,,,,,,,,,,,,,,,
threadleaf evening primrose,Oenothera linifolia,"USA(AL, AR, FL, GA, IL, KS, KY, LA, MO, MS, NC, OK, SC, TN, TX, VA)",Onagraceae,Evening Primrose family,Annual,Forb/herb,,,,,,,,,,,,,,,,,,,,,,
longstem evening primrose,Oenothera longissima,"USA(AZ, CA, CO, NV, UT)",Onagraceae,Evening Primrose family,"Biennial, Perennial",Forb/herb,,,,,,,,,,,,,,,,,,,,,,
bigfruit evening primrose,Oenothera macrocarpa,"USA(AR, IL, KS, MO, NE, OK, TN, TX, WY)",Onagraceae,Evening Primrose family,Perennial,Forb/herb,,,,,,,,,,,,,,,,,,,,,,
Fremont's evening primrose,Oenothera macrocarpa ssp. fremontii,"USA(KS, NE)",Onagraceae,Evening Primrose family,Perennial,Forb/herb,,,,,,,,,,,,,,,,,,,,,,
bigfruit evening primrose,Oenothera macrocarpa ssp. incana,"USA(KS, OK, TX)",Onagraceae,Evening Primrose family,Perennial,Forb/herb,,,,,,,,,,,,,,,,,,,,,,
bigfruit evening primrose,Oenothera macrocarpa ssp. macrocarpa,"USA(AR, IL, KS, MO, NE, OK, TN, TX, WY)",Onagraceae,Evening Primrose family,Perennial,Forb/herb,,,,,,,,,,,,,,,,,,,,,,
Oklahoma evening primrose,Oenothera macrocarpa ssp. oklahomensis,"USA(KS, OK, TX)",Onagraceae,Evening Primrose family,Perennial,Forb/herb,,,,,,,,,,,,,,,,,,,,,,
Mckelvey's beeblossom,Oenothera mckelveyae,USA(TX),Onagraceae,,Perennial,"Forb/herb, Subshrub",,,,,,,,,,,,,,,,,,,,,,
Mexican evening primrose,Oenothera mexicana,USA(TX),Onagraceae,Evening Primrose family,"Annual, Biennial, Perennial",Forb/herb,,,,,,,,,,,,,,,,,,,,,,
Argentine evening primrose,Oenothera mollissima,"USA(NJ, OR)",Onagraceae,Evening Primrose family,Annual,Forb/herb,,,,,,,,,,,,,,,,,,,,,,
Murdock's evening primrose,Oenothera murdockii,USA(UT),Onagraceae,Evening Primrose family,Annual,Forb/herb,,,,,,,,,,,,,,,,,,,,,,
New Mexico evening primrose,Oenothera neomexicana,"USA(AZ, NM)",Onagraceae,Evening Primrose family,Biennial,Forb/herb,,,,,,,,,,,,,,,,,,,,,,
nodding evening primrose,Oenothera nutans,"CAN(ON), USA(AL, AR, CT, DC, FL, GA, IN, KY, MD, ME, MI, MO, NC, NH, NJ, NY, OH, PA, RI, SC, TN, VA, VT, WV)",Onagraceae,Evening Primrose family,Biennial,Forb/herb,,,,,,,,,,,,,,,,,,,,,,
Nuttall's evening primrose,Oenothera nuttallii,"CAN(AB, MB, ON, SK), USA(CO, IL, KS, MI, MN, MT, ND, NE, SD, UT, WI, WY)",Onagraceae,Evening Primrose family,Perennial,Forb/herb,,,,,,,,,,,,,,,,,,,,,,
Oakes' evening primrose,Oenothera oakesiana,"CAN(MB, NB, NF, ON, QC), FRA(SB), USA(CT, DE, IL, IN, KY, MA, MD, ME, MI, MN, NC, NH, NJ, NY, OH, PA, RI, VA, VT, WI)",Onagraceae,Evening Primrose family,Biennial,Forb/herb,,,,,,,,,,,,,,,,,,,,,,
Organ Mountain evening primrose,Oenothera organensis,USA(NM),Onagraceae,Evening Primrose family,Perennial,"Subshrub, Forb/herb",,,,,,,,,,,,,,,,,,,,,,
whitepole evening primrose,Oenothera pallida ssp. gypsophila,USA(NM),Onagraceae,Evening Primrose family,Perennial,Forb/herb,,,,,,,,,,,,,,,,,,,,,,
pale evening primrose,Oenothera pallida ssp. pallida,"CAN(BC), USA(AZ, CO, ID, MT, NM, NV, OR, UT, WA, WY)",Onagraceae,Evening Primrose family,Perennial,Forb/herb,,,,,,,,,,,,,,,,,,,,,,
pale evening primrose,Oenothera pallida ssp. runcinata,"USA(AZ, CO, NM, NV, TX, UT)",Onagraceae,Evening Primrose family,Perennial,Forb/herb,,,,,,,,,,,,,,,,,,,,,,
pale evening primrose,Oenothera pallida ssp. trichocalyx,"USA(AZ, CO, MT, UT, WY)",Onagraceae,Evening Primrose family,"Biennial, Perennial",Forb/herb,,,,,,,,,,,,,,,,,,,,,,
northern evening primrose,Oenothera parviflora,"CAN(BC, MB, NB, NF, NS, ON, PE, QC, SK), USA(CT, DC, DE, IA, IL, IN, KY, MA, MD, ME, MI, MN, MO, NC, NH, NJ, NY, OH, PA, RI, SC, TN, VA, VT, WI, WV)",Onagraceae,Evening Primrose family,Biennial,Forb/herb,,,,,,,,,,,,,,,,,,,,,,
plains beeblossom,Oenothera patriciae,"USA(LA, MS, OK, TX)",Onagraceae,,Annual,Forb/herb,,,,,,,,,,,,,,,,,,,,,,
little evening primrose,Oenothera perennis,"CAN(BC, MB, NB, NF, NS, ON, PE, QC), FRA(SB), USA(CT, DC, DE, GA, IA, IL, IN, KY, MA, MD, ME, MI, MN, MO, MS, MT, NC, NE, NH, NJ, NY, OH, PA, RI, SC, TN, VA, VT, WI, WV)",Onagraceae,Evening Primrose family,Perennial,Forb/herb,,,,,,,,,,,,,,,,,,,,,,
meadow evening primrose,Oenothera pilosella ssp. pilosella,"CAN(ON, QC), USA(AL, AR, CT, IA, IL, IN, KY, LA, MA, ME, MI, MO, MS, NH, NJ, NY, OH, PA, VA, VT, WI, WV)",Onagraceae,Evening Primrose family,Perennial,Forb/herb,,,,,,,,,,,,,,,,,,,,,,
meadow evening primrose,Oenothera pilosella ssp. sessilis,"USA(AR, LA, TX)",Onagraceae,Evening Primrose family,Perennial,Forb/herb,,,,,,,,,,,,,,,,,,,,,,
Fort Huachuca evening primrose,Oenothera platanorum,USA(AZ),Onagraceae,Evening Primrose family,Perennial,Forb/herb,,,,,,,,,,,,,,,,,,,,,,
desert evening primrose,Oenothera primiveris,"USA(AZ, CA, NM, NV, TX, UT)",Onagraceae,Evening Primrose family,Annual,Forb/herb,,,,,,,,,,,,,,,,,,,,,,
desert evening primrose,Oenothera primiveris ssp. bufonis,"USA(AZ, CA, NV, UT)",Onagraceae,Evening Primrose family,Annual,Forb/herb,,,,,,,,,,,,,,,,,,,,,,
desert evening primrose,Oenothera primiveris ssp. primiveris,"USA(AZ, CA, NM, NV, TX)",Onagraceae,Evening Primrose family,Annual,Forb/herb,,,,,,,,,,,,,,,,,,,,,,
St. Anthony Dunes evening primrose,Oenothera psammophila,USA(ID),Onagraceae,Evening Primrose family,Perennial,Forb/herb,,,,,,,,,,,,,,,,,,,,,,
South American evening primrose,Oenothera pubescens,"USA(AZ, CA, NM)",Onagraceae,Evening Primrose family,"Annual, Perennial",Forb/herb,,,,,,,,,,,,,,,,,,,,,,
fourpoint evening primrose,Oenothera rhombipetala,"USA(AR, IA, IL, KS, LA, MI, MN, MO, ND, NE, NM, OK, SD, TX, WI)",Onagraceae,Evening Primrose family,"Biennial, AN",Forb/herb,,,,,,,,,,,,,,,,,,,,,,
rose evening primrose,Oenothera rosea,"USA(AZ, CA, NM, TX)",Onagraceae,Evening Primrose family,Perennial,Forb/herb,,,,,,,,,,,,,,,,,,,,,,
southern beeblossom,Oenothera simulans,"USA(AL, FL, GA, MS, NC, SC)",Onagraceae,,Annual,Forb/herb,,,,,,,,,,,,,,,,,,,,,,
wavyleaf beeblossom,Oenothera sinuosa,"USA(AL, AR, CA, FL, GA, LA, MO, OK, SC, TX)",Onagraceae,,Perennial,Forb/herb,,,,,,,,,,,,,,,,,,,,,,
Spach's evening primrose,Oenothera spachiana,"USA(AL, AR, LA, MS, OK, TX)",Onagraceae,Evening Primrose family,Annual,Forb/herb,,,,,,,,,,,,,,,,,,,,,,
pinkladies,Oenothera speciosa,"USA(AL, AR, AZ, CA, CT, FL, GA, IA, IL, IN, KS, KY, LA, MO, MS, NC, NE, NM, NY, OH, OK, PA, SC, TN, TX, UT, VA, WV)",Onagraceae,Evening Primrose family,Perennial,"Subshrub, Forb/herb",,,,,,,,,,,,,,,,,,,,,,
Chilean evening primrose,Oenothera stricta,"USA(CA, HI)",Onagraceae,Evening Primrose family,"Annual, Biennial",Forb/herb,,,,,,,,,,,,,,,,,,,,,,
scarlet beeblossom,Oenothera suffrutescens,"CAN(AB, BC, MB, ON, SK), USA(AZ, CA, CO, IA, ID, IL, IN, KS, LA, MI, MN, MO, MT, ND, NE, NM, NV, NY, OK, SD, TX, UT, WA, WI, WY)",Onagraceae,,Perennial,"Forb/herb, Subshrub",,,,,,,,,,,,,,,,,,,,,,
kisses,Oenothera suffulta,"USA(NM, OK, TX)",Onagraceae,,Annual,Forb/herb,,,,,,,,,,,,,,,,,,,,,,
Nealley's kisses,Oenothera suffulta ssp. nealleyi,"USA(NM, TX)",Onagraceae,,Annual,Forb/herb,,,,,,,,,,,,,,,,,,,,,,
kisses,Oenothera suffulta ssp. suffulta,"USA(OK, TX)",Onagraceae,,Annual,Forb/herb,,,,,,,,,,,,,,,,,,,,,,
fourwing evening primrose,Oenothera tetraptera,USA(TX),Onagraceae,Evening Primrose family,Annual,Forb/herb,,,,,,,,,,,,,,,,,,,,,,
Texas evening primrose,Oenothera texensis,USA(TX),Onagraceae,Evening Primrose family,Perennial,Forb/herb,,,,,,,,,,,,,,,,,,,,,,
prairie beeblossom,Oenothera triangulata,"USA(OK, TX)",Onagraceae,,Annual,Forb/herb,,,,,,,,,,,,,,,,,,,,,,
stemless evening primrose,Oenothera triloba,"USA(AL, AR, IL, IN, KS, KY, LA, MO, MS, NM, NY, OH, OK, PA, TN, TX, VA)",Onagraceae,Evening Primrose family,"Annual, Biennial",Forb/herb,,,,,,,,,,,,,,,,,,,,,,
hairy evening primrose,Oenothera villosa,"CAN(AB, BC, MB, NB, NS, NT, ON, PE, QC, SK), FRA(SB), USA(AL, AR, AZ, CA, CO, CT, GA, IA, ID, IL, IN, KS, KY, MA, MD, ME, MI, MN, MO, MS, MT, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY)",Onagraceae,Evening Primrose family,"Perennial, Biennial",Forb/herb,,,,,,,,,,,,,,,,,,,,,,
hairy evening primrose,Oenothera villosa ssp. strigosa,"CAN(AB, BC, MB, NT, ON, SK), USA(AZ, CA, CO, ID, KY, MI, MN, MT, ND, NE, NM, NV, OR, SD, UT, WA, WI, WY)",Onagraceae,Evening Primrose family,"Biennial, Perennial",Forb/herb,,,,,,,,,,,,,,,,,,,,,,
hairy evening primrose,Oenothera villosa ssp. villosa,"CAN(AB, BC, MB, NB, NS, ON, PE, QC, SK), FRA(SB), USA(AL, AR, CO, CT, GA, IA, IL, IN, KS, KY, MA, MD, ME, MI, MN, MO, MS, MT, ND, NE, NH, NJ, NY, OH, OK, PA, SD, TN, TX, VA, VT, WI, WV, WY)",Onagraceae,Evening Primrose family,"Perennial, Biennial",Forb/herb,,,,,,,,,,,,,,,,,,,,,,
Wolf's evening primrose,Oenothera wolfii,"USA(CA, OR)",Onagraceae,Evening Primrose family,Biennial,Forb/herb,,,,,,,,,,,,,,,,,,,,,,
Drummond's beeblossom,Oenothera xerogaura,"USA(AR, CA, GA, LA, TX)",Onagraceae,,Perennial,Forb/herb,,,,,,,,,,,,,,,,,,,,,,
woodyfruit evening primrose,Oenothera xylocarpa,"USA(CA, NV)",Onagraceae,Evening Primrose family,Perennial,Forb/herb,,,,,,,,,,,,,,,,,,,,,,
okenia,Okenia,USA(FL),Nyctaginaceae,Four o'clock family,,,,,,,,,,,,,,,,,,,,,,,,
burrowing four o'clock,Okenia hypogaea,USA(FL),Nyctaginaceae,Four o'clock family,Annual,Forb/herb,,,,,,,,,,,,,,,,,,,,,,
oldenlandia,Oldenlandia,"USA+(PR, VI), USA(AL, AR, DC, DE, FL, GA, HI, KY, LA, MD, MO, MS, NC, NJ, NY, OK, PW, SC, TN, TX, VA)",Rubiaceae,Madder family,,,,,,,,,,,,,,,,,,,,,,,,
Bosc's mille graines,Oldenlandia boscii,"USA(AL, AR, FL, GA, KY, LA, MO, MS, NC, OK, SC, TN, TX, VA)",Rubiaceae,Madder family,Perennial,Forb/herb,,,,,,,,,,,,,,,,,,,,,,
flat-top mille graines,Oldenlandia corymbosa,"USA+(PR, VI), USA(AL, AR, FL, GA, HI, LA, MS, NC, PW, SC, TX)",Rubiaceae,Madder family,"Annual, Perennial",Forb/herb,,,,,,,,,,,,,,,,,,,,,,
Salzmann's mille graines,Oldenlandia salzmannii,"USA(AL, FL)",Rubiaceae,Madder family,Perennial,Forb/herb,,,,,,,,,,,,,,,,,,,,,,
clustered mille graines,Oldenlandia uniflora,"USA+(PR), USA(AL, AR, DC, DE, FL, GA, KY, LA, MD, MO, MS, NC, NJ, NY, OK, SC, TN, TX, VA)",Rubiaceae,Madder family,Annual,"Forb/herb, Subshrub",,,,,,,,,,,,,,,,,,,,,,
creeping-bluet,Oldenlandiopsis,"USA+(PR, VI), USA(FL, HI)",Rubiaceae,Madder family,,,,,,,,,,,,,,,,,,,,,,,,
creeping-bluet,Oldenlandiopsis callitrichoides,"USA+(PR, VI), USA(FL, HI)",Rubiaceae,Madder family,"Annual, Perennial",Forb/herb,,,,,,,,,,,,,,,,,,,,,,
olive,Olea,"USA(CA, HI)",Oleaceae,Olive family,,,,,,,,,,,,,,,,,,,,,,,,
olive,Olea europaea,"USA(CA, HI)",Oleaceae,Olive family,Perennial,"Tree, Shrub",,,,,,,,,,,,,,,,,,,,,,
African olive,Olea europaea ssp. cuspidata,"USA(CA, HI)",Oleaceae,Olive family,Perennial,"Tree, Shrub",,,,,,,,,,,,,,,,,,,,,,
European olive,Olea europaea ssp. europaea,"USA(CA, HI)",Oleaceae,Olive family,Perennial,"Tree, Shrub",,,,,,,,,,,,,,,,,,,,,,
oligomeris,Oligomeris,"USA(AZ, CA, NM, NV, TX)",Resedaceae,Mignonette family,,,,,,,,,,,,,,,,,,,,,,,,
lineleaf whitepuff,Oligomeris linifolia,"USA(AZ, CA, NM, NV, TX)",Resedaceae,Mignonette family,Annual,Forb/herb,,,,,,,,,,,,,,,,,,,,,,
goldenrod,Oligoneuron,"CAN(AB, MB, NB, ON, QC, SK), USA(AL, AR, CO, CT, DC, GA, IA, IL, IN, KS, KY, LA, MA, MD, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NY, OH, OK, PA, RI, SC, SD, TN, TX, VA, VT, WI, WV, WY)",Asteraceae,Aster family,,,,,,,,,,,,,,,,,,,,,,,,
goldenrod,Oligoneuron ×bernardii,"USA(IN, MN, WI)",Asteraceae,Aster family,Perennial,Forb/herb,,,,,,,,,,,,,,,,,,,,,,
goldenrod,Oligoneuron ×krotkovii,"CAN(ON), USA(MI, WI)",Asteraceae,Aster family,Perennial,Forb/herb,,,,,,,,,,,,,,,,,,,,,,
goldenrod,Oligoneuron ×lutescens,"CAN(MB, ON, SK), USA(IL, IN, SD, WI)",Asteraceae,Aster family,Perennial,Forb/herb,,,,,,,,,,,,,,,,,,,,,,
prairie goldenrod,Oligoneuron album,"CAN(MB, NB, ON, QC, SK), USA(AR, CO, CT, GA, IA, IL, IN, MA, MI, MN, MO, MT, NC, ND, NH, NY, OH, OK, SC, SD, TN, VT, WI, WY)",Asteraceae,Aster family,Perennial,Forb/herb,,,,,,,,,,,,,,,,,,,,,,
Houghton's goldenrod,Oligoneuron houghtonii,"CAN(ON), USA(MI, NY)",Asteraceae,Aster family,Perennial,Forb/herb,,,,,,,,,,,,,,,,,,,,,,
shiny goldenrod,Oligoneuron nitidum,"USA(AR, LA, MS, OK, TX)",Asteraceae,Aster family,Perennial,Forb/herb,,,,,,,,,,,,,,,,,,,,,,
Ohio goldenrod,Oligoneuron ohioense,"CAN(ON), USA(IL, IN, MI, NY, OH, WI)",Asteraceae,Aster family,Perennial,Forb/herb,,,,,,,,,,,,,,,,,,,,,,
Riddell's goldenrod,Oligoneuron riddellii,"CAN(MB, ON), USA(AR, IA, IL, IN, KS, MI, MN, MO, ND, OH, SD, WI)",Asteraceae,Aster family,Perennial,Forb/herb,,,,,,,,,,,,,,,,,,,,,,
stiff goldenrod,Oligoneuron rigidum,"CAN(AB, MB, ON, SK), USA(AL, AR, CO, CT, DC, GA, IA, IL, IN, KS, KY, LA, MA, MD, MI, MN, MO, MS, MT, NC, ND, NE, NJ, NM, NY, OH, OK, PA, RI, SC, SD, TN, TX, VA, WI, WV, WY)",Asteraceae,Aster family,Perennial,Forb/herb,,,,,,,,,,,,,,,,,,,,,,
stiff goldenrod,Oligoneuron rigidum var. glabratum,"USA(AL, AR, GA, KY, LA, MO, MS, NC, OH, SC, TN, TX)",Asteraceae,Aster family,Perennial,Forb/herb,,,,,,,,,,,,,,,,,,,,,,
stiff goldenrod,Oligoneuron rigidum var. humile,"CAN(AB, MB, ON, SK), USA(CO, IA, IL, IN, KS, MI, MN, MO, MT, ND, NE, NM, OK, SD, TX, WI, WY)",Asteraceae,Aster family,Perennial,Forb/herb,,,,,,,,,,,,,,,,,,,,,,
olneya,Olneya,"USA(AZ, CA)",Fabaceae,Pea family,,,,,,,,,,,,,,,,,,,,,,,,
grasswidow,Olsynium,"CAN(BC), USA(CA, ID, NV, OR, UT, WA)",Iridaceae,Iris family,,,,,,,,,,,,,,,,,,,,,,,,
Douglas' grasswidow,Olsynium douglasii,"CAN(BC), USA(CA, ID, NV, OR, UT, WA)",Iridaceae,Iris family,Perennial,Forb/herb,,,,,,,,,,,,,,,,,,,,,,
inflated grasswidow,Olsynium douglasii var. inflatum,"CAN(BC), USA(ID, NV, OR, UT, WA)",Iridaceae,Iris family,Perennial,Forb/herb,,,,,,,,,,,,,,,,,,,,,,
arctic cudweed,Omalotheca,"CAN(BC, LB, NB, NF, NS, ON, PE, QC), DEN(GL), FRA(SB), USA(ME, MI, NH, NY, PA, VT, WI)",Asteraceae,Aster family,,,,,,,,,,,,,,,,,,,,,,,,
alpine arctic cudweed,Omalotheca supina,"CAN(LB, NF, QC), DEN(GL), USA(ME, NH)",Asteraceae,Aster family,Perennial,Forb/herb,,,,,,,,,,,,,,,,,,,,,,
