Common_Name,Scientific_Name,Family_Common_Name,Duration,Flower_Color,Foliage_Color,Growth_Habit,"Height,_Mature_(feet)",Toxicity,Drought_Tolerance,Shade_Tolerance,Bloom_Period,Palatable_Human
western dwarf cliffbrake,Pellaea glabella ssp. occidentalis,Maidenhair Fern family,Perennial,,,Forb/herb,,,,,,
smooth cliffbrake,Pellaea glabella ssp. simplex,Maidenhair Fern family,Perennial,,,Forb/herb,,,,,,
intermediate cliffbrake,Pellaea intermedia,Maidenhair Fern family,Perennial,,,Forb/herb,,,,,,
Lyngholm's cliffbrake,Pellaea lyngholmii,Maidenhair Fern family,Perennial,,,Forb/herb,,,,,,
birdfoot cliffbrake,Pellaea mucronata,Maidenhair Fern family,Perennial,,,Forb/herb,,,,,,
California cliffbrake,Pellaea mucronata ssp. californica,Maidenhair Fern family,Perennial,,,Forb/herb,,,,,,
birdfoot cliffbrake,Pellaea mucronata ssp. mucronata,Maidenhair Fern family,Perennial,,,Forb/herb,,,,,,
ovateleaf cliffbrake,Pellaea ovata,Maidenhair Fern family,Perennial,,,Forb/herb,,,,,,
Trans-Pecos cliffbrake,Pellaea ternifolia,Maidenhair Fern family,Perennial,,,Forb/herb,,,,,,
Arizonia cliffbrake,Pellaea ternifolia ssp. arizonica,Maidenhair Fern family,Perennial,,,Forb/herb,,,,,,
Trans-Pecos cliffbrake,Pellaea ternifolia ssp. ternifolia,Maidenhair Fern family,Perennial,,,Forb/herb,,,,,,
Trans-Pecos cliffbrake,Pellaea ternifolia ssp. villosa,Maidenhair Fern family,Perennial,,,Forb/herb,,,,,,
spiny cliffbrake,Pellaea truncata,Maidenhair Fern family,Perennial,,,Forb/herb,,,,,,
Wright's cliffbrake,Pellaea wrightiana,Maidenhair Fern family,Perennial,,,Forb/herb,,,,,,
arrow arum,Peltandra,Arum family,,,,,,,,,,
white arrow arum,Peltandra sagittifolia,Arum family,Perennial,,,Forb/herb,,,,,,
peltophorum,Peltophorum,Pea family,,,,,,,,,,
horsebush,Peltophorum dubia,Pea family,Perennial,,,Tree,,,,,,
peltophorum,Peltophorum pterocarpum,Pea family,Perennial,,,Tree,,,,,,
peniocereus,Peniocereus,Cactus family,,,,,,,,,,
nightblooming cereus,Peniocereus greggii,Cactus family,Perennial,,,Shrub,,,,,,
nightblooming cereus,Peniocereus greggii var. greggii,Cactus family,Perennial,,,Shrub,,,,,,
nightblooming cereus,Peniocereus greggii var. transmontanus,Cactus family,Perennial,,,Shrub,,,,,,
gearstem cactus,Peniocereus striatus,Cactus family,Perennial,,,Shrub,,,,,,
mock thelypody,Pennellia,Mustard family,,,,,,,,,,
longleaf mock thelypody,Pennellia longifolia,Mustard family,"Biennial, Perennial",,,Forb/herb,,,,,,
mountain mock thelypody,Pennellia micrantha,Mustard family,"Biennial, Perennial",,,Forb/herb,,,,,,
fountaingrass,Pennisetum,Grass family,,,,,,,,,,
foreign fountaingrass,Pennisetum advena,Grass family,"Annual, Perennial",,,Graminoid,,,,,,
kikuyugrass,Pennisetum clandestinum,Grass family,Perennial,,,Graminoid,,,,,,
Uruguayan fountaingrass,Pennisetum latifolium,Grass family,Perennial,,,Graminoid,,,,,,
African feathergrass,Pennisetum macrourum,Grass family,Perennial,,,Graminoid,,,,,,
bentspike fountaingrass,Pennisetum nervosum,Grass family,Perennial,,,Graminoid,,,,,,
Oriental pennisetum,Pennisetum orientale,Grass family,Perennial,,,Graminoid,,,,,,
Kyasuma grass,Pennisetum pedicellatum,Grass family,Annual,,,Graminoid,,,,,,
Kyasuma grass,Pennisetum pedicellatum ssp. unispiculum,Grass family,Annual,,,Graminoid,,,,,,
petioled fountaingrass,Pennisetum petiolare,Grass family,Perennial,,,Graminoid,,,,,,
mission grass,Pennisetum polystachion,Grass family,Perennial,,,Graminoid,,,,,,
mission grass,Pennisetum polystachion ssp. setosum,Grass family,Perennial,,,Graminoid,,,,,,
feathertop,Pennisetum villosum,Grass family,Perennial,,,Graminoid,,,,,,
beardtongue,Penstemon,Figwort family,,,,,,,,,,
Crider beardtongue,Penstemon ×crideri,Figwort family,Perennial,,,Forb/herb,,,,,,
beardtongue,Penstemon ×dubius,Figwort family,Perennial,,,Forb/herb,,,,,,
beardtongue,Penstemon ×jonesii,Figwort family,Perennial,,,Forb/herb,,,,,,
beardtongue,Penstemon ×mirus,Figwort family,Perennial,,,Forb/herb,,,,,,
beardtongue,Penstemon ×parishii,Figwort family,Perennial,,,"Subshrub, Shrub",,,,,,
beardtongue,Penstemon ×peirsonii,Figwort family,Perennial,,,Forb/herb,,,,,,
firleaf beardtongue,Penstemon abietinus,Figwort family,Perennial,,,"Subshrub, Forb/herb",,,,,,
Absaroka Range beardtongue,Penstemon absarokensis,Figwort family,Perennial,,,Forb/herb,,,,,,
stemless beardtongue,Penstemon acaulis,Figwort family,Perennial,,,"Forb/herb, Subshrub",,,,,,
sharpleaf penstemon,Penstemon acuminatus var. acuminatus,Figwort family,Perennial,,,Forb/herb,,,,,,
sharpleaf penstemon,Penstemon acuminatus var. latebracteatus,Figwort family,Perennial,,,Forb/herb,,,,,,
Los Alamos beardtongue,Penstemon alamosensis,Figwort family,Perennial,,,Forb/herb,,,,,,
white penstemon,Penstemon albidus,Figwort family,Perennial,,,Forb/herb,,,,,,
whitemargin beardtongue,Penstemon albomarginatus,Figwort family,Perennial,,,Forb/herb,,,,,,
lowland beardtongue,Penstemon alluviorum,Figwort family,Perennial,,,Forb/herb,,,,,,
gilia beardtongue,Penstemon ambiguus,Figwort family,Perennial,,,"Subshrub, Forb/herb",,,,,,
gilia beardtongue,Penstemon ambiguus var. ambiguus,Figwort family,Perennial,,,"Subshrub, Forb/herb",,,,,,
pink plains beardtongue,Penstemon ambiguus var. laevissimus,Figwort family,Perennial,,,"Forb/herb, Subshrub",,,,,,
sandloving penstemon,Penstemon ammophilus,Figwort family,Perennial,,,Forb/herb,,,,,,
Siskiyou beardtongue,Penstemon anguineus,Figwort family,Perennial,,,Forb/herb,,,,,,
broadbeard beardtongue,Penstemon angustifolius var. angustifolius,Figwort family,Perennial,,,"Subshrub, Forb/herb",,,,,,
broadbeard beardtongue,Penstemon angustifolius var. caudatus,Figwort family,Perennial,,,"Forb/herb, Subshrub",,,,,,
broadbeard beardtongue,Penstemon angustifolius var. dulcis,Figwort family,Perennial,,,"Subshrub, Forb/herb",,,,,,
broadbeard beardtongue,Penstemon angustifolius var. venosus,Figwort family,Perennial,,,"Subshrub, Forb/herb",,,,,,
broadbeard beardtongue,Penstemon angustifolius var. vernalensis,Figwort family,Perennial,,,"Forb/herb, Subshrub",,,,,,
Nevada sanddune beardtongue,Penstemon arenarius,Figwort family,Perennial,,,"Subshrub, Forb/herb",,,,,,
sand penstemon,Penstemon arenicola,Figwort family,Perennial,,,Forb/herb,,,,,,
stiffleaf penstemon,Penstemon aridus,Figwort family,Perennial,,,Forb/herb,,,,,,
Arkansas beardtongue,Penstemon arkansanus,Figwort family,Perennial,,,Forb/herb,,,,,,
sulphur penstemon,Penstemon attenuatus,Figwort family,Perennial,,,"Subshrub, Forb/herb",,,,,,
sulphur penstemon,Penstemon attenuatus var. attenuatus,Figwort family,Perennial,,,"Subshrub, Forb/herb",,,,,,
South Idaho penstemon,Penstemon attenuatus var. militaris,Figwort family,Perennial,,,"Forb/herb, Subshrub",,,,,,
sulphur beardtongue,Penstemon attenuatus var. palustris,Figwort family,Perennial,,,"Subshrub, Forb/herb",,,,,,
small penstemon,Penstemon attenuatus var. pseudoprocerus,Figwort family,Perennial,,,"Forb/herb, Subshrub",,,,,,
Kaiparowits beardtongue,Penstemon atwoodii,Figwort family,Perennial,,,Forb/herb,,,,,,
Colorado beardtongue,Penstemon auriberbis,Figwort family,Perennial,,,"Subshrub, Forb/herb",,,,,,
Eustis Lake beardtongue,Penstemon australis,Figwort family,Perennial,,,Forb/herb,,,,,,
azure penstemon,Penstemon azureus,Figwort family,Perennial,,,"Subshrub, Forb/herb",,,,,,
azure penstemon,Penstemon azureus ssp. angustissimus,Figwort family,Perennial,,,"Forb/herb, Subshrub",,,,,,
azure penstemon,Penstemon azureus ssp. azureus,Figwort family,Perennial,,,"Subshrub, Forb/herb",,,,,,
baccharisleaf beardtongue,Penstemon baccharifolius,Figwort family,Perennial,,,Subshrub,,,,,,
beardlip penstemon,Penstemon barbatus,Figwort family,Perennial,,,Forb/herb,,,,,,
beardlip penstemon,Penstemon barbatus ssp. barbatus,Figwort family,Perennial,,,Forb/herb,,,,,,
Torrey's penstemon,Penstemon barbatus ssp. torreyi,Figwort family,Perennial,,,Forb/herb,,,,,,
beardlip penstemon,Penstemon barbatus ssp. trichander,Figwort family,Perennial,,,Forb/herb,,,,,,
White River Valley beardtongue,Penstemon barnebyi,Figwort family,Perennial,,,Forb/herb,,,,,,
Barrett's beardtongue,Penstemon barrettiae,Figwort family,Perennial,,,"Subshrub, Forb/herb",,,,,,
pinto beardtongue,Penstemon bicolor,Figwort family,Perennial,,,Forb/herb,,,,,,
pinto beardtongue,Penstemon bicolor ssp. bicolor,Figwort family,Perennial,,,Forb/herb,,,,,,
pinto beardtongue,Penstemon bicolor ssp. roseus,Figwort family,Perennial,,,Forb/herb,,,,,,
Red Canyon beardtongue,Penstemon bracteatus,Figwort family,Perennial,,,Forb/herb,,,,,,
shortstem beardtongue,Penstemon breviculus,Figwort family,Perennial,,,Forb/herb,,,,,,
Bryant's beardtongue,Penstemon bryantiae,Figwort family,Perennial,,,Forb/herb,,,,,,
Buckley's beardtongue,Penstemon buckleyi,Figwort family,Perennial,,,"Subshrub, Forb/herb",,,,,,
San Bernardino beardtongue,Penstemon caesius,Figwort family,Perennial,,,"Subshrub, Forb/herb",,,,,,
mat penstemon,Penstemon caespitosus,Figwort family,Perennial,,,"Subshrub, Forb/herb",,,,,,
mat penstemon,Penstemon caespitosus var. caespitosus,Figwort family,Perennial,,,"Forb/herb, Subshrub",,,,,,
mat penstemon,Penstemon caespitosus var. desertipicti,Figwort family,Perennial,,,"Subshrub, Forb/herb",,,,,,
mat penstemon,Penstemon caespitosus var. perbrevis,Figwort family,Perennial,,,"Forb/herb, Subshrub",,,,,,
limestone beardtongue,Penstemon calcareus,Figwort family,Perennial,,,Forb/herb,,,,,,
California penstemon,Penstemon californicus,Figwort family,Perennial,,,"Subshrub, Forb/herb",,,,,,
longsepal beardtongue,Penstemon calycosus,Figwort family,Perennial,,,Forb/herb,,,,,,
eastern gray beardtongue,Penstemon canescens,Figwort family,Perennial,,,Forb/herb,,,,,,
cardinal beardtongue,Penstemon cardinalis,Figwort family,Perennial,,,Forb/herb,,,,,,
cardinal beardtongue,Penstemon cardinalis ssp. cardinalis,Figwort family,Perennial,,,Forb/herb,,,,,,
cardinal beardtongue,Penstemon cardinalis ssp. regalis,Figwort family,Perennial,,,Forb/herb,,,,,,
Cardwell's beardtongue,Penstemon cardwellii,Figwort family,Perennial,,,"Subshrub, Shrub, Forb/herb",,,,,,
fleshy beardtongue,Penstemon carnosus,Figwort family,Perennial,,,Forb/herb,,,,,,
Cary's beardtongue,Penstemon caryi,Figwort family,Perennial,,,Forb/herb,,,,,,
scarlet bugler,Penstemon centranthifolius,Figwort family,Perennial,,,"Subshrub, Forb/herb",,,,,,
ash penstemon,Penstemon cinicola,Figwort family,Perennial,,,"Subshrub, Forb/herb",,,,,,
Cleveland's beardtongue,Penstemon clevelandii,Figwort family,Perennial,,,"Subshrub, Forb/herb",,,,,,
Cleveland's beardtongue,Penstemon clevelandii ssp. clevelandii,Figwort family,Perennial,,,"Forb/herb, Subshrub",,,,,,
San Jacinto beardtongue,Penstemon clevelandii ssp. connatus,Figwort family,Perennial,,,"Subshrub, Forb/herb",,,,,,
Cleveland's beardtongue,Penstemon clevelandii ssp. mohavensis,Figwort family,Perennial,,,"Subshrub, Forb/herb",,,,,,
Sunset Crater beardtongue,Penstemon clutei,Figwort family,Perennial,,,Forb/herb,,,,,,
cobaea beardtongue,Penstemon cobaea,Figwort family,Perennial,,,Forb/herb,,,,,,
dusty beardtongue,Penstemon comarrhenus,Figwort family,Perennial,,,Forb/herb,,,,,,
compact penstemon,Penstemon compactus,Figwort family,Perennial,,,"Subshrub, Forb/herb",,,,,,
Tunnel Springs beardtongue,Penstemon concinnus,Figwort family,Perennial,,,"Subshrub, Forb/herb",,,,,,
Owens Valley beardtongue,Penstemon confusus,Figwort family,Perennial,,,Forb/herb,,,,,,
Crandall's beardtongue,Penstemon crandallii,Figwort family,Perennial,,,"Subshrub, Forb/herb",,,,,,
Crandall's beardtongue,Penstemon crandallii ssp. atratus,Figwort family,Perennial,,,"Subshrub, Forb/herb",,,,,,
Crandall's beardtongue,Penstemon crandallii ssp. crandallii,Figwort family,Perennial,,,"Forb/herb, Subshrub",,,,,,
Crandall's beardtongue,Penstemon crandallii ssp. glabrescens,Figwort family,Perennial,,,"Subshrub, Forb/herb",,,,,,
Crandall's beardtongue,Penstemon crandallii ssp. procumbens,Figwort family,Perennial,,,"Forb/herb, Subshrub",,,,,,
Taos penstemon,Penstemon crandallii ssp. taosensis,Figwort family,Perennial,,,"Subshrub, Forb/herb",,,,,,
Cusick's beardtongue,Penstemon cusickii,Figwort family,Perennial,,,"Forb/herb, Subshrub",,,,,,
Wasatch beardtongue,Penstemon cyananthus var. cyananthus,Figwort family,Perennial,,,Forb/herb,,,,,,
Wasatch beardtongue,Penstemon cyananthus var. subglaber,Figwort family,Perennial,,,Forb/herb,,,,,,
blue penstemon,Penstemon cyaneus,Figwort family,Perennial,,,"Subshrub, Forb/herb",,,,,,
bluestem beardtongue,Penstemon cyanocaulis,Figwort family,Perennial,,,Forb/herb,,,,,,
sagebrush beardtongue,Penstemon cyathophorus,Figwort family,Perennial,,,Forb/herb,,,,,,
Cochise beardtongue,Penstemon dasyphyllus,Figwort family,Perennial,,,Forb/herb,,,,,,
Davidson's penstemon,Penstemon davidsonii,Figwort family,Perennial,,,"Subshrub, Forb/herb",,,,,,
Davidson's penstemon,Penstemon davidsonii var. davidsonii,Figwort family,Perennial,,,"Subshrub, Forb/herb",,,,,,
Menzies' penstemon,Penstemon davidsonii var. menziesii,Figwort family,Perennial,,,"Forb/herb, Subshrub",,,,,,
timberline beardtongue,Penstemon davidsonii var. praeteritus,Figwort family,Perennial,,,"Subshrub, Forb/herb",,,,,,
Deam's beardtongue,Penstemon deamii,Figwort family,Perennial,,,Forb/herb,,,,,,
Mt. Graham beardtongue,Penstemon deaveri,Figwort family,Perennial,,,Forb/herb,,,,,,
Parachute beardtongue,Penstemon debilis,Figwort family,Perennial,,,Forb/herb,,,,,,
Degener's beardtongue,Penstemon degeneri,Figwort family,Perennial,,,Forb/herb,,,,,,
scabland penstemon,Penstemon deustus var. deustus,Figwort family,Perennial,,,"Subshrub, Forb/herb",,,,,,
scabland penstemon,Penstemon deustus var. pedicellatus,Figwort family,Perennial,,,"Forb/herb, Subshrub",,,,,,
scabland penstemon,Penstemon deustus var. suffrutescens,Figwort family,Perennial,,,"Forb/herb, Subshrub",,,,,,
scabland penstemon,Penstemon deustus var. variabilis,Figwort family,Perennial,,,"Forb/herb, Subshrub",,,,,,
twoleaf beardtongue,Penstemon diphyllus,Figwort family,Perennial,,,"Forb/herb, Subshrub",,,,,,
Cataiina beardtongue,Penstemon discolor,Figwort family,Perennial,,,Subshrub,,,,,,
dissected beardtongue,Penstemon dissectus,Figwort family,Perennial,,,Forb/herb,,,,,,
Mt. Tumbull beardtongue,Penstemon distans,Figwort family,Perennial,,,"Subshrub, Forb/herb",,,,,,
Jones' beardtongue,Penstemon dolius,Figwort family,Perennial,,,"Subshrub, Forb/herb",,,,,,
Jones' beardtongue,Penstemon dolius var. dolius,Figwort family,Perennial,,,"Subshrub, Forb/herb",,,,,,
Duchesne penstemon,Penstemon dolius var. duchesnensis,Figwort family,Perennial,,,"Forb/herb, Subshrub",,,,,,
firecracker penstemon,Penstemon eatonii ssp. eatonii,Figwort family,Perennial,,,Forb/herb,,,,,,
firecracker penstemon,Penstemon eatonii ssp. exsertus,Figwort family,Perennial,,,Forb/herb,,,,,,
firecracker penstemon,Penstemon eatonii ssp. undosus,Figwort family,Perennial,,,Forb/herb,,,,,,
rockvine penstemon,Penstemon elegantulus,Figwort family,Perennial,,,"Subshrub, Forb/herb",,,,,,
rocky ledge penstemon,Penstemon ellipticus,Figwort family,Perennial,,,"Forb/herb, Subshrub",,,,,,
fuzzytongue penstemon,Penstemon eriantherus,Figwort family,Perennial,,,"Subshrub, Forb/herb",,,,,,
fuzzytongue penstemon,Penstemon eriantherus var. argillosus,Figwort family,Perennial,,,"Subshrub, Forb/herb",,,,,,
Cleburn's penstemon,Penstemon eriantherus var. cleburnei,Figwort family,Perennial,,,"Forb/herb, Subshrub",,,,,,
fuzzytongue penstemon,Penstemon eriantherus var. eriantherus,Figwort family,Perennial,,,"Subshrub, Forb/herb",,,,,,
longsac penstemon,Penstemon eriantherus var. redactus,Figwort family,Perennial,,,"Forb/herb, Subshrub",,,,,,
Whited's penstemon,Penstemon eriantherus var. whitedii,Figwort family,Perennial,,,"Subshrub, Forb/herb",,,,,,
glaucous beardtongue,Penstemon euglaucus,Figwort family,Perennial,,,Forb/herb,,,,,,
Fendler's penstemon,Penstemon fendleri,Figwort family,Perennial,,,Forb/herb,,,,,,
threadleaf beardtongue,Penstemon filiformis,Figwort family,Perennial,,,"Subshrub, Forb/herb",,,,,,
high mountain penstemon,Penstemon flavescens,Figwort family,Perennial,,,"Forb/herb, Subshrub",,,,,,
Cordillia's beardtongue,Penstemon floribundus,Figwort family,Perennial,,,Forb/herb,,,,,,
Panamint beardtongue,Penstemon floridus,Figwort family,Perennial,,,"Subshrub, Forb/herb",,,,,,
Austin's beardtongue,Penstemon floridus var. austinii,Figwort family,Perennial,,,"Subshrub, Forb/herb",,,,,,
Panamint beardtongue,Penstemon floridus var. floridus,Figwort family,Perennial,,,"Forb/herb, Subshrub",,,,,,
Flowers' beardtongue,Penstemon flowersii,Figwort family,Perennial,,,Forb/herb,,,,,,
Franklin's penstemon,Penstemon franklinii,Figwort family,Perennial,,,Forb/herb,,,,,,
Fremont's beardtongue,Penstemon fremontii,Figwort family,Perennial,,,"Forb/herb, Subshrub",,,,,,
Fremont's beardtongue,Penstemon fremontii var. fremontii,Figwort family,Perennial,,,"Subshrub, Forb/herb",,,,,,
Fremont's beardtongue,Penstemon fremontii var. glabrescens,Figwort family,Perennial,,,"Forb/herb, Subshrub",,,,,,
Death Valley beardtongue,Penstemon fruticiformis,Figwort family,Perennial,,,"Subshrub, Shrub",,,,,,
Death Valley beardtongue,Penstemon fruticiformis ssp. amargosae,Figwort family,Perennial,,,"Subshrub, Shrub",,,,,,
Death Valley beardtongue,Penstemon fruticiformis ssp. fruticiformis,Figwort family,Perennial,,,"Subshrub, Shrub",,,,,,
bush penstemon,Penstemon fruticosus var. fruticosus,Figwort family,Perennial,,,Subshrub,,,,,,
littleleaf bush penstemon,Penstemon fruticosus var. scouleri,Figwort family,Perennial,,,Subshrub,,,,,,
sawleaf bush penstemon,Penstemon fruticosus var. serratus,Figwort family,Perennial,,,Subshrub,,,,,,
Gairdner's beardtongue,Penstemon gairdneri var. gairdneri,Figwort family,Perennial,,,"Subshrub, Forb/herb",,,,,,
Gairdner's beardtongue,Penstemon gairdneri var. oreganus,Figwort family,Perennial,,,"Forb/herb, Subshrub",,,,,,
Gibbens' beardtongue,Penstemon gibbensii,Figwort family,Perennial,,,Forb/herb,,,,,,
alpine sawsepal penstemon,Penstemon glaber var. alpinus,Figwort family,Perennial,,,"Subshrub, Forb/herb",,,,,,
Brandegee's penstemon,Penstemon glaber var. brandegeei,Figwort family,Perennial,,,"Forb/herb, Subshrub",,,,,,
sawsepal penstemon,Penstemon glaber var. glaber,Figwort family,Perennial,,,"Subshrub, Forb/herb",,,,,,
stickystem penstemon,Penstemon glandulosus,Figwort family,Perennial,,,"Forb/herb, Subshrub",,,,,,
stickystem penstemon,Penstemon glandulosus var. chelanensis,Figwort family,Perennial,,,"Subshrub, Forb/herb",,,,,,
stickystem penstemon,Penstemon glandulosus var. glandulosus,Figwort family,Perennial,,,"Forb/herb, Subshrub",,,,,,
blueleaf beardtongue,Penstemon glaucinus,Figwort family,Perennial,,,Forb/herb,,,,,,
globe penstemon,Penstemon globosus,Figwort family,Perennial,,,"Subshrub, Forb/herb",,,,,,
Lapoint beardtongue,Penstemon goodrichii,Figwort family,Perennial,,,Forb/herb,,,,,,
Gorman's beardtongue,Penstemon gormanii,Figwort family,Perennial,,,Forb/herb,,,,,,
slender penstemon,Penstemon gracilentus,Figwort family,Perennial,,,"Subshrub, Forb/herb",,,,,,
lilac penstemon,Penstemon gracilis,Figwort family,Perennial,,,Forb/herb,,,,,,
lilac penstemon,Penstemon gracilis var. gracilis,Figwort family,Perennial,,,Forb/herb,,,,,,
Wisconsin penstemon,Penstemon gracilis var. wisconsinensis,Figwort family,Perennial,,,Forb/herb,,,,,,
Uinta Basin beardtongue,Penstemon grahamii,Figwort family,Perennial,,,Forb/herb,,,,,,
large beardtongue,Penstemon grandiflorus,Figwort family,Perennial,,,Forb/herb,,,,,,
Griffin's beardtongue,Penstemon griffinii,Figwort family,Perennial,,,Forb/herb,,,,,,
Grinnell's beardtongue,Penstemon grinnellii,Figwort family,Perennial,,,"Subshrub, Forb/herb",,,,,,
Grinnell's beardtongue,Penstemon grinnellii ssp. grinnellii,Figwort family,Perennial,,,"Subshrub, Forb/herb",,,,,,
Grinnell's beardtongue,Penstemon grinnellii ssp. scrophularioides,Figwort family,Perennial,,,"Forb/herb, Subshrub",,,,,,
Guadalupe beardtongue,Penstemon guadalupensis,Figwort family,Perennial,,,Forb/herb,,,,,,
Hall's beardtongue,Penstemon hallii,Figwort family,Perennial,,,Forb/herb,,,,,,
Harbour's beardtongue,Penstemon harbourii,Figwort family,Perennial,,,Forb/herb,,,,,,
Harrington's beardtongue,Penstemon harringtonii,Figwort family,Perennial,,,Forb/herb,,,,,,
Big Bend beardtongue,Penstemon havardii,Figwort family,Perennial,,,Forb/herb,,,,,,
blowout beardtongue,Penstemon haydenii,Figwort family,Perennial,,,Forb/herb,,,,,,
Sierra beardtongue,Penstemon heterodoxus,Figwort family,Perennial,,,"Subshrub, Forb/herb",,,,,,
Sierra beardtongue,Penstemon heterodoxus var. cephalophorus,Figwort family,Perennial,,,"Subshrub, Forb/herb",,,,,,
Sierra beardtongue,Penstemon heterodoxus var. heterodoxus,Figwort family,Perennial,,,"Subshrub, Forb/herb",,,,,,
Shasta beardtongue,Penstemon heterodoxus var. shastensis,Figwort family,Perennial,,,Forb/herb,,,,,,
bunchleaf penstemon,Penstemon heterophyllus,Figwort family,Perennial,,,"Forb/herb, Subshrub",,,,,,
foothill beardtongue,Penstemon heterophyllus ssp. australis,Figwort family,Perennial,,,"Subshrub, Forb/herb",,,,,,
bunchleaf penstemon,Penstemon heterophyllus ssp. heterophyllus,Figwort family,Perennial,,,"Subshrub, Forb/herb",,,,,,
hairy beardtongue,Penstemon hirsutus,Figwort family,Perennial,,,Forb/herb,,,,,,
low beardtongue,Penstemon humilis,Figwort family,Perennial,,,"Subshrub, Forb/herb",,,,,,
low beardtongue,Penstemon humilis ssp. brevifolius,Figwort family,Perennial,,,"Subshrub, Forb/herb",,,,,,
low beardtongue,Penstemon humilis ssp. humilis,Figwort family,Perennial,,,"Forb/herb, Subshrub",,,,,,
low beardtongue,Penstemon humilis ssp. obtusifolius,Figwort family,Perennial,,,"Subshrub, Forb/herb",,,,,,
Idaho beardtongue,Penstemon idahoensis,Figwort family,Perennial,,,Forb/herb,,,,,,
Steptoe Valley beardtongue,Penstemon immanifestus,Figwort family,Perennial,,,"Subshrub, Forb/herb",,,,,,
Mojave beardtongue,Penstemon incertus,Figwort family,Perennial,,,"Subshrub, Shrub",,,,,,
inflated beardtongue,Penstemon inflatus,Figwort family,Perennial,,,Forb/herb,,,,,,
James' beardtongue,Penstemon jamesii,Figwort family,Perennial,,,"Subshrub, Forb/herb",,,,,,
Antelope Valley beardtongue,Penstemon janishiae,Figwort family,Perennial,,,"Forb/herb, Subshrub",,,,,,
King's beardtongue,Penstemon kingii,Figwort family,Perennial,,,"Subshrub, Forb/herb",,,,,,
Kral's beardtongue,Penstemon kralii,Figwort family,Perennial,,,Forb/herb,,,,,,
San Gabriel beardtongue,Penstemon labrosus,Figwort family,Perennial,,,Forb/herb,,,,,,
mountain blue penstemon,Penstemon laetus ssp. laetus,Figwort family,Perennial,,,"Subshrub, Forb/herb",,,,,,
mountain blue penstemon,Penstemon laetus ssp. leptosepalus,Figwort family,Perennial,,,"Subshrub, Forb/herb",,,,,,
mountain blue penstemon,Penstemon laetus ssp. sagittatus,Figwort family,Perennial,,,"Subshrub, Forb/herb",,,,,,
eastern smooth beardtongue,Penstemon laevigatus,Figwort family,Perennial,,,Forb/herb,,,,,,
southwestern beardtongue,Penstemon laevis,Figwort family,Perennial,,,"Subshrub, Forb/herb",,,,,,
larchleaf beardtongue,Penstemon laricifolius,Figwort family,Perennial,,,Forb/herb,,,,,,
larchleaf beardtongue,Penstemon laricifolius ssp. exilifolius,Figwort family,Perennial,,,Forb/herb,,,,,,
larchleaf beardtongue,Penstemon laricifolius ssp. laricifolius,Figwort family,Perennial,,,Forb/herb,,,,,,
nodding beardtongue,Penstemon laxiflorus,Figwort family,Perennial,,,Forb/herb,,,,,,
tufted penstemon,Penstemon laxus,Figwort family,Perennial,,,"Forb/herb, Subshrub",,,,,,
smoothleaf beardtongue,Penstemon leiophyllus,Figwort family,Perennial,,,"Subshrub, Forb/herb",,,,,,
smoothleaf beardtongue,Penstemon leiophyllus var. francisci-pennellii,Figwort family,Perennial,,,"Subshrub, Forb/herb",,,,,,
Keck's beardtongue,Penstemon leiophyllus var. keckii,Figwort family,Perennial,,,"Subshrub, Forb/herb",,,,,,
smoothleaf beardtongue,Penstemon leiophyllus var. leiophyllus,Figwort family,Perennial,,,"Forb/herb, Subshrub",,,,,,
Lemhi penstemon,Penstemon lemhiensis,Figwort family,Perennial,,,Forb/herb,,,,,,
handsome beardtongue,Penstemon lentus,Figwort family,Perennial,,,Forb/herb,,,,,,
handsome beardtongue,Penstemon lentus var. albiflorus,Figwort family,Perennial,,,Forb/herb,,,,,,
handsome beardtongue,Penstemon lentus var. lentus,Figwort family,Perennial,,,Forb/herb,,,,,,
Leonard's beardtongue,Penstemon leonardii,Figwort family,Perennial,,,"Subshrub, Forb/herb",,,,,,
Higgins' beardtongue,Penstemon leonardii var. higginsii,Figwort family,Perennial,,,"Forb/herb, Subshrub",,,,,,
Leonard's beardtongue,Penstemon leonardii var. leonardii,Figwort family,Perennial,,,"Subshrub, Forb/herb",,,,,,
Leonard's beardtongue,Penstemon leonardii var. patricus,Figwort family,Perennial,,,"Forb/herb, Subshrub",,,,,,
Sevier Plateau beardtongue,Penstemon leptanthus,Figwort family,Perennial,,,Forb/herb,,,,,,
toadflax penstemon,Penstemon linarioides,Figwort family,Perennial,,,"Subshrub, Forb/herb",,,,,,
toadflax penstemon,Penstemon linarioides ssp. coloradoensis,Figwort family,Perennial,,,"Subshrub, Forb/herb",,,,,,
toadflax beardtongue,Penstemon linarioides ssp. compactifolius,Figwort family,Perennial,,,"Forb/herb, Subshrub",,,,,,
toadflax beardtongue,Penstemon linarioides ssp. linarioides,Figwort family,Perennial,,,"Subshrub, Forb/herb",,,,,,
Maguire's penstemon,Penstemon linarioides ssp. maguirei,Figwort family,Perennial,,,"Forb/herb, Subshrub",,,,,,
Siler's penstemon,Penstemon linarioides ssp. sileri,Figwort family,Perennial,,,"Subshrub, Forb/herb",,,,,,
longflower penstemon,Penstemon longiflorus,Figwort family,Perennial,,,"Subshrub, Forb/herb",,,,,,
